tree_tip,matched_MDD_name,match_type,order,family,genus,iucn_category,extinct_flag
Uropsilus_investigator,Uropsilus_investigator,direct,Eulipotyphla,Talpidae,Uropsilus,DD,0.0
Uropsilus_soricipes,Uropsilus_soricipes,direct,Eulipotyphla,Talpidae,Uropsilus,LC,0.0
Uropsilus_gracilis,Uropsilus_gracilis,direct,Eulipotyphla,Talpidae,Uropsilus,LC,0.0
Uropsilus_andersoni,Uropsilus_andersoni,direct,Eulipotyphla,Talpidae,Uropsilus,DD,0.0
Uropsilus_aequodonenia,Uropsilus_aequodonenia,direct,Eulipotyphla,Talpidae,Uropsilus,NE,0.0
Neurotrichus_gibbsii,Neurotrichus_gibbsii,direct,Eulipotyphla,Talpidae,Neurotrichus,LC,0.0
Desmana_moschata,Desmana_moschata,direct,Eulipotyphla,Talpidae,Desmana,CR,0.0
Galemys_pyrenaicus,Galemys_pyrenaicus,direct,Eulipotyphla,Talpidae,Galemys,EN,0.0
Scapanulus_oweni,Scapanulus_oweni,direct,Eulipotyphla,Talpidae,Scapanulus,LC,0.0
Parascalops_breweri,Parascalops_breweri,direct,Eulipotyphla,Talpidae,Parascalops,LC,0.0
Scapanus_townsendii,Scapanus_townsendii,direct,Eulipotyphla,Talpidae,Scapanus,LC,0.0
Scapanus_orarius,Scapanus_orarius,direct,Eulipotyphla,Talpidae,Scapanus,LC,0.0
Scapanus_latimanus,Scapanus_latimanus,direct,Eulipotyphla,Talpidae,Scapanus,LC,0.0
Scalopus_aquaticus,Scalopus_aquaticus,direct,Eulipotyphla,Talpidae,Scalopus,LC,0.0
Euroscaptor_micrura,Euroscaptor_micrurus,synonym:MSW3,Eulipotyphla,Talpidae,Euroscaptor,LC,0.0
Euroscaptor_grandis,Euroscaptor_grandis,direct,Eulipotyphla,Talpidae,Euroscaptor,LC,0.0
Euroscaptor_mizura,Oreoscaptor_mizura,synonym:MSW3,Eulipotyphla,Talpidae,Oreoscaptor,LC,0.0
Euroscaptor_subanura,Euroscaptor_subanura,direct,Eulipotyphla,Talpidae,Euroscaptor,LC,0.0
Mogera_uchidai,Mogera_uchidai,direct,Eulipotyphla,Talpidae,Mogera,VU,0.0
Mogera_robusta,Mogera_robusta,direct,Eulipotyphla,Talpidae,Mogera,LC,0.0
Mogera_wogura,Mogera_wogura,direct,Eulipotyphla,Talpidae,Mogera,LC,0.0
