tree,PD,ePDloss
592,124731.640903104,13587.1436063859
593,125967.307489217,13522.732025842
594,127032.075745909,13509.0450297871
595,126096.930233126,13604.1345144716
596,128460.249325163,13741.9419844888
597,127702.076147297,13686.8294657158
598,126446.429884149,13474.2710008683
599,130487.201039259,14555.1093479098
600,129979.402266591,14030.461345357
601,128404.051662321,14099.567372328
602,124056.982480427,13192.3138875618
603,125729.323105349,13934.4385054887
604,127471.247385059,14055.6109188507
605,126993.797668367,13805.2518968646
606,129222.004506065,13749.8622356196
607,126517.792354311,13804.8815914408
608,127737.987438563,13563.4000562306
609,127511.439914951,13635.31984485
610,126701.564657223,13520.1331521047
611,123886.291885257,13771.4728778234
612,126150.160467331,13492.3688554365
613,124838.478530649,13452.8030046833
614,124303.501424526,13482.9291489411
615,124459.549180297,13613.194805072
616,122447.605388597,13549.7847189639
617,122840.937972684,13228.3802341754
618,124344.687103763,13510.560096141
619,124270.963635738,13163.9896076541
620,121788.805478636,13082.4047665786
621,122433.529923372,13314.6775346996
622,121076.076614631,12693.9770855579
623,131691.064919482,14287.042190609
624,121997.543836322,13191.3711434372
625,124233.304191119,13731.4358313591
626,124797.634431097,13303.605753839
627,121526.251850274,13178.5643213039
628,121206.491033381,13466.6560083677
629,122108.997210704,13198.1716341273
630,121156.144931887,13003.5866363001
631,122877.352384583,13014.9323789854
632,121799.10489256,13040.1121633085
633,123440.652175271,13441.803244856
634,124620.596547845,13464.0508336448
635,122769.788582604,13075.3961474224
636,125860.863367334,13660.6619146277
637,124357.518611518,13193.4096211014
638,126347.827149251,13207.2273323606
639,127442.231635156,13570.7754528624
640,126979.948949723,13644.1321903762
641,128869.350303441,13938.6400690304
642,125001.732542383,13475.995845227
643,127982.98795844,13866.5679165229
644,129372.2904893,13856.8850252595
645,128140.462867778,13576.0278404566
646,128078.599563314,13684.8713778053
647,129952.110037628,13940.0369034764
648,128549.562870701,13678.1213770631
649,131256.472360684,14236.6184849314
650,132434.052804301,14432.0852492664
651,129359.251022201,14299.7149144901
652,129572.024147179,14153.1240646549
653,130197.127592287,14236.3795459765
654,130552.494088894,14027.3058890204
655,132830.620797772,14511.570910509
656,132635.251778956,14405.6052843647
657,129602.362408398,14505.5545994581
658,131484.924300367,14481.2509931638
659,130840.240855906,13983.4409477046
660,129172.772198887,13992.5209164974
661,129730.402539847,14248.9861832892
662,128452.400273528,13886.2053437853
663,125782.907086076,13569.7622755162
664,126413.894830634,13479.6046317037
665,128165.634435402,14100.9960033657
666,127144.688892192,13746.8222716953
667,129110.657944994,13928.0408738235
668,127862.943403613,13920.1102102167
669,133567.308018568,14707.775040134
670,124539.425703857,13325.1489917458
671,124015.595867938,13411.3692892595
672,123666.789285369,12982.326725571
673,125874.933423699,13041.836722131
674,128529.206798708,14015.855985006
675,124753.35989311,13617.4381044595
676,127486.669115981,13889.229602792
677,122776.372921708,13209.5949933395
678,125796.156658356,13455.3010685828
679,126407.590836799,13664.6694574786
680,124784.477321441,13673.7170400589
