clade,species,RLcat,match,matched_IUCN_name,order,family
mammals,Crocidura_tenuis,DD,direct,Crocidura_tenuis,Eulipotyphla,Soricidae
mammals,Crocidura_batesi,LC,direct,Crocidura_batesi,Eulipotyphla,Soricidae
mammals,Crocidura_floweri,DD,direct,Crocidura_floweri,Eulipotyphla,Soricidae
mammals,Crocidura_grandiceps,LC,direct,Crocidura_grandiceps,Eulipotyphla,Soricidae
mammals,Crocidura_hildegardeae,LC,direct,Crocidura_hildegardeae,Eulipotyphla,Soricidae
mammals,Crocidura_eisentrauti,VU,direct,Crocidura_eisentrauti,Eulipotyphla,Soricidae
mammals,Crocidura_vosmaeri,DD,direct,Crocidura_vosmaeri,Eulipotyphla,Soricidae
mammals,Crocidura_religiosa,DD,direct,Crocidura_religiosa,Eulipotyphla,Soricidae
mammals,Crocidura_attila,LC,direct,Crocidura_attila,Eulipotyphla,Soricidae
mammals,Crocidura_telfordi,VU,direct,Crocidura_telfordi,Eulipotyphla,Soricidae
mammals,Crocidura_dhofarensis,DD,direct,Crocidura_dhofarensis,Eulipotyphla,Soricidae
mammals,Crocidura_maxi,LC,direct,Crocidura_maxi,Eulipotyphla,Soricidae
mammals,Crocidura_nicobarica,CR,direct,Crocidura_nicobarica,Eulipotyphla,Soricidae
mammals,Crocidura_silacea,LC,direct,Crocidura_silacea,Eulipotyphla,Soricidae
mammals,Crocidura_orii,EN,direct,Crocidura_orii,Eulipotyphla,Soricidae
mammals,Crocidura_phaeura,EN,direct,Crocidura_phaeura,Eulipotyphla,Soricidae
mammals,Crocidura_mariquensis,LC,direct,Crocidura_mariquensis,Eulipotyphla,Soricidae
mammals,Crocidura_allex,LC,direct,Crocidura_allex,Eulipotyphla,Soricidae
mammals,Crocidura_ultima,DD,direct,Crocidura_ultima,Eulipotyphla,Soricidae
mammals,Crocidura_fumosa,LC,direct,Crocidura_fumosa,Eulipotyphla,Soricidae
mammals,Crocidura_dolichura,LC,direct,Crocidura_dolichura,Eulipotyphla,Soricidae
mammals,Crocidura_arispa,LC,direct,Crocidura_arispa,Eulipotyphla,Soricidae
mammals,Crocidura_picea,EN,direct,Crocidura_picea,Eulipotyphla,Soricidae
mammals,Crocidura_macowi,EN,direct,Crocidura_macowi,Eulipotyphla,Soricidae
mammals,Crocidura_ludia,LC,direct,Crocidura_ludia,Eulipotyphla,Soricidae
mammals,Crocidura_nana,DD,direct,Crocidura_nana,Eulipotyphla,Soricidae
mammals,Crocidura_greenwoodi,LC,direct,Crocidura_greenwoodi,Eulipotyphla,Soricidae
mammals,Crocidura_desperata,VU,direct,Crocidura_desperata,Eulipotyphla,Soricidae
mammals,Crocidura_stenocephala,VU,direct,Crocidura_stenocephala,Eulipotyphla,Soricidae
mammals,Crocidura_littoralis,LC,direct,Crocidura_littoralis,Eulipotyphla,Soricidae
mammals,Crocidura_maurisca,LC,direct,Crocidura_maurisca,Eulipotyphla,Soricidae
mammals,Crocidura_tarella,EN,direct,Crocidura_tarella,Eulipotyphla,Soricidae
mammals,Crocidura_lusitania,LC,direct,Crocidura_lusitania,Eulipotyphla,Soricidae
mammals,Crocidura_foxi,LC,direct,Crocidura_foxi,Eulipotyphla,Soricidae
mammals,Crocidura_crossei,LC,direct,Crocidura_crossei,Eulipotyphla,Soricidae
